Orthogroup	Female-whole-body	Male-whole-body	Major-ampullate-gland	Minor-ampullate-gland	Tubuliform-gland	Flagelliform-gland	Aggregate-gland	Aciniform-Pyriform-gland	Hemolymph	Pedipalp	Leg	Epidermis	Venom-gland	Fat-body	Ovary	Duct	Sac	Tail
OG0000444	119.0271147	43.323541	37.32827433	53.971222	42.511763	22.65021833	16.96719433	267.3174897	6.589257667	120.826813	104.7621307	167.7089437	28.379107	275.208786	15.36850367	89.30666667	42.78333333	21.63
OG0000445	41.317446667	38.349773004	35.279673336	37.111437668	25.723586669	28.293205333	15.586612333	25.858519663000003	138.609709333	47.30726000600001	48.083829327000004	28.700186663	29.403331336999997	9.885743	19.285326663	24.289999997000002	7.44	6.856666666
OG0000446	0.015544334	0.249419667	0.022357333	0.07034533300000001	0.217464333	0.181537	0.361301666	27.708534	0.006294666	0.112271	0.006487667	4.491263333	0.004739	0.261563334	0.025618	0.176666667	0.316666667	1.686666667
OG0000447	11.097166667000002	119.62303200299999	247.58356932600003	142.47068433700002	83.54629833300001	99.79084732300001	24.514271667000003	215.78034101	8.187834665999999	14.850356997999999	5.373327666	19.221938333	68.22487133599999	308.73532233400005	13.638514332	659.7633333	333.783333333	6.903333334
OG0000448	3.7248903330000003	3.7847340000000003	3.098801334	3.165369667	3.2328293329999997	5.160832667	3.3726953340000003	3.432258666	4.373962667	3.273403667	2.7781379999999998	8.408776667	1.7984369999999998	7.907429667000001	2.556969333	10.419999999000002	3.6599999999999997	4.976666667
OG0000449	2.318544	3.122584334	2.405442	3.219130333	3.070351667	5.037649334	2.457233334	2.347863	7.523022666999999	1.8021973340000002	2.608917333	1.224542666	1.240799	0.7741290000000001	3.681894	1.006666666	0.686666667	0.97
OG0000450	8269.1482567	16.368716663999997	19.755393666	19.549174663	131.53902863300002	76.87083700000001	66.124051667	8786.7564246	6.699644333	4318.10563603	9261.304277629999	2681.0216067	2838.859138666	35.259409003	120.186320003	269.10333336599996	8.666666667	3.23
OG0000451	441.42964632699994	196.24455803400002	232.497723637	324.604698666	276.775919664	232.44167932899998	253.207833294	414.37502299700003	1209.9686690400003	468.633614702	425.964038701	343.40865795999997	351.544463037	257.606538697	1069.0799789999999	199.68666663300002	158.58666666399998	69.16000000000001
OG0000452	11.189272333	1.5914223330000001	0.326651666	0.715797333	1.3379633329999998	1.751988333	0.066790334	8.744298	0.100005	15.162996996999999	20.744766337	5.370783	0.180235667	0.329444	5.3104446670000005	6.81	5.533333333000001	5.756666667
OG0000453	43.086194003	2.0858223330000003	1.558670666	3.274726667	1.655894	2.493000666	1.507985334	58.76815100300001	3.450157	76.65232067000001	66.63768199	245.370772	0.9865613329999999	27.77318133	43.180563333	1.38	0.806666667	0.656666667
